"Player","Pos","Class","School","Conference","Season","Total"
"D.L. Wilhite","DL","SO","Minnesota","Big Ten",2010,1.3247
"Sean Jeppesen","RB","JR","Georgia State","Sun Belt",2013,1.3247
"Mike Schrang","DL","SR","Louisiana Tech","CUSA",2014,1.3247
"James Kelly","DL","SO","Army","Independent",2012,1.3246
"Lawson Hall","LB","SO","Nevada","Mountain West",2018,1.3245
"Jonathan Norton","RB","JR","Fresno State","Mountain West",2012,1.3242
"Brandon McCray","DL","SR","Louisiana","Sun Belt",2013,1.3242
"Rico Brown","DB","SR","Western Kentucky","CUSA",2014,1.3242
"Maxx Forde","DL","FR","Idaho","WAC",2011,1.3241
"Jalen Graves","DL","SO","UNLV","Mountain West",2019,1.324
"Mike Clausen","DB","JR","UNLV","Mountain West",2010,1.3239
"Mickey Jackson","DL","FR","UAB","CUSA",2011,1.3239
"Chris Register","DL","SO","Clemson","ACC",2016,1.3239
"Josh Smith","LB","JR","Vanderbilt","SEC",2017,1.3234
"Will Shamburger","DB","JR","Washington","Pac-12",2012,1.3231
"Mario Jones","DL","FR","Northern Illinois","MAC",2013,1.3231
"Dalton Baker","LB","SO","Utah State","Mountain West",2017,1.3228
"Dalton Barksdale","DL","SO","Buffalo","MAC",2012,1.3226
"Trevor Sweeney","RB","SO","Western Michigan","MAC",2014,1.3219
"Gabriel McClary","DB","JR","Boston College","ACC",2016,1.3219
"Ryan Isaac","DL","JR","Purdue","Big Ten",2012,1.3218
"Josh Drayden","DB","SR","California","Pac-12",2019,1.3217
"Carlos Watkins","DL","FR","Clemson","ACC",2012,1.3216
"Tejay Johnson","DB","FR","Rutgers","Big East",2012,1.3216
"Curtis Harper","DL","SO","Syracuse","ACC",2019,1.3216
"Jaleel Johnson","DL","SO","Iowa","Big Ten",2014,1.321
"Marques Moore","LB","SO","Kent State","MAC",2015,1.321
"Milord Juste","DL","SO","FIU","CUSA",2016,1.3207
"Micah McFadden","LB","FR","Indiana","Big Ten",2018,1.3207
"A’Shon Riggins","DB","JR","Indiana","Big Ten",2018,1.3207
"Steve Edmond","LB","FR","Texas","Big 12",2011,1.3204
"Alexander LaVoy","LB","JR","New Mexico State","WAC",2011,1.3203
"Josh Moore","DL","FR","Missouri","SEC",2015,1.3203
"Gary Baker","DL","SR","Oregon","Pac-12",2019,1.3202
"Jake Matthews","LB","SO","Arizona","Pac-12",2014,1.3199
"Kenneth Edison-McGruder","LB","JR","Oklahoma State","Big 12",2017,1.3199
"Eric Braswell","DL","SO","Houston","CUSA",2012,1.3197
"Joshua Jackson","DB","SO","Iowa","Big Ten",2016,1.3196
"Nate DeRider","LB","JR","Washington State","Pac-12",2016,1.3196
"Darien Johnson","DB","JR","New Mexico State","WAC",2012,1.3195
"Willington Previlon","DL","SO","Rutgers","Big Ten",2017,1.3195
"Delmond Landry","DL","SR","Southern Miss","CUSA",2018,1.3195
"Dearco Nolan","DL","SO","Middle Tennessee","Sun Belt",2011,1.3194
"J.J. Parson","DB","SR","Stanford","Pac-12",2019,1.3194
"Jawuan Johnson","LB","SO","Northern Illinois","MAC",2016,1.3192
"KJ Johnson II","DB","FR","Coastal Carolina","Sun Belt",2019,1.3192
"D'Metrius Williams","DB","SO","Massachusetts","MAC",2013,1.319
"Tito Odenigbo","DL","SO","Illinois","Big Ten",2016,1.319
"Traveon Beck","DB","SO","California","Pac-12",2017,1.3188
"Baylen Baker","DL","JR","UTSA","CUSA",2018,1.3186
"Derricus Ellis","DL","JR","Wake Forest","ACC",2011,1.3183
"Herb Miller","DB","SO","FAU","CUSA",2016,1.3183
"Braxton Hoyett","DL","SO","Mississippi State","SEC",2016,1.3183
"Eric Thomas","LB","SR","Tulane","American",2016,1.3183
"Jalen Phelps","DB","SO","Eastern Michigan","MAC",2017,1.3183
"Chris Thompson","WR","SR","Florida","SEC",2016,1.3182
"Marquise Copeland","DL","FR","Cincinnati","American",2015,1.3181
"Kesni Tausinga","DL","SO","BYU","Independent",2015,1.3177
"Fred Jones","DL","SR","Indiana","Big Ten",2011,1.3174
"Nic Johnston","DB","SR","UTSA","CUSA",2014,1.3173
"Marcus Hubbard","DB","JR","Louisiana-Monroe","Sun Belt",2017,1.3173
"Greer Martini","LB","FR","Notre Dame","Independent",2014,1.3171
"Lewellyn Coker","LB","SR","Syracuse","ACC",2013,1.3168
"Marc Philippi","LB","SO","UNLV","Mountain West",2014,1.3167
"Tyler Stephenson","DB","FR","Baylor","Big 12",2010,1.3166
"Reggis Ball","DB","FR","Memphis","CUSA",2012,1.3163
"Robert Jackson Jr.","DB","JR","Bowling Green","MAC",2017,1.3163
"Jassavia Reese","DL","SR","New Mexico State","Independent",2018,1.316
"Antoine Hopkins","DL","JR","Virginia Tech","ACC",2011,1.3157
"Deanté Gray","WR","SR","TCU","Big 12",2016,1.3157
"KeyShaun Simmons","DL","JR","Kansas","Big 12",2017,1.3157
"Nic Jones","DB","FR","Ball State","MAC",2019,1.3156
"Robert Bowers","DL","SO","Michigan State","Big Ten",2016,1.3155
"Jalen Grimble","DL","SR","Oregon State","Pac-12",2015,1.3151
"Jerrico Lee","DL","FR","FIU","Sun Belt",2010,1.3149
"Joseph Boletepeli","DL","FR","North Carolina State","ACC",2019,1.3149
"Tolando Cleveland","DB","FR","Mississippi State","SEC",2013,1.3146
"Shareef White","LB","FR","Memphis","American",2014,1.3146
"Tyler Dippel","DL","FR","Wisconsin","Big Ten",2010,1.3144
"Dalton Barksdale","DL","SR","Buffalo","MAC",2014,1.3143
"Antwan Cordy","DB","FR","Syracuse","ACC",2014,1.3143
"Adarius Rayner","DL","JR","Indiana","Big Ten",2014,1.3141
"Alvin Hill","DB","JR","Maryland","Big Ten",2014,1.3141
"Trey Williams","DB","SO","Idaho","WAC",2011,1.3137
"Nick Jackson","LB","FR","Virginia","ACC",2019,1.3136
"Jamey Mosley","LB","JR","Alabama","SEC",2017,1.3134
"Osazuwamen Igbinosun","DL","SR","Ball State","MAC",2015,1.3133
