"Player","Pos","Class","School","Conference","Season","Total"
"Loyce Means","DB","SR","Houston","CUSA",2010,4.4698
"James Dunlap","DL","SR","UNLV","Mountain West",2011,4.4698
"Steve Beauharnais","LB","SO","Rutgers","Big East",2010,4.4695
"Maxx Forde","DL","JR","Idaho","Independent",2013,4.4694
"Antavis Rowe","DB","SO","Marshall","CUSA",2015,4.4692
"Steven Parker","DB","SR","Oklahoma","Big 12",2017,4.4691
"Ronnell Perkins","DB","SR","Missouri","SEC",2019,4.4689
"Hardrick Willis","DL","JR","Georgia State","Sun Belt",2019,4.4683
"Etienne Sabino","LB","JR","Ohio State","Big Ten",2011,4.4682
"Jeff Luc","LB","JR","Cincinnati","American",2013,4.4677
"Antwaun Woods","DL","SR","USC","Pac-12",2015,4.4657
"Darien Butler","LB","FR","Arizona State","Pac-12",2018,4.4655
"Carlos Davis","DL","SR","Nebraska","Big Ten",2019,4.4652
"Kevin White","DB","JR","TCU","Big 12",2013,4.4649
"Tim Roberts","DB","JR","Buffalo","MAC",2016,4.464
"Mikey Bart","DL","SR","North Carolina","ACC",2016,4.4635
"Gabriel Sewell","LB","FR","Nevada","Mountain West",2016,4.4627
"Michael Johnson","LB","SR","Louisiana-Monroe","Sun Belt",2015,4.4621
"Courtney Avery","DB","SO","Michigan","Big Ten",2011,4.4614
"Juanyeh Thomas","DB","SO","Georgia Tech","ACC",2019,4.4614
"Joel Cox","DL","SR","Ball State","MAC",2013,4.4613
"Theo Jackson","DB","JR","Tennessee","SEC",2019,4.4612
"Jarrod Wilson","DB","JR","Michigan","Big Ten",2014,4.461
"Tanner Antle","LB","SR","Tulsa","CUSA",2010,4.4607
"Chris Frey","LB","SR","Michigan State","Big Ten",2017,4.4605
"DaMarion King","DB","SR","Louisiana Tech","CUSA",2017,4.4604
"Kobe Jones","DL","SO","Mississippi State","SEC",2018,4.4604
"D.J. Welch","LB","SO","Oregon State","Pac-12",2012,4.46
"Daniel Brown","DB","SR","Nevada","Mountain West",2019,4.46
"Sean Carter","DB","JR","Old Dominion","CUSA",2017,4.4599
"Zack Mesday","DL","SR","Temple","American",2018,4.4592
"Joe Stoner","LB","SR","New Mexico","Mountain West",2012,4.4585
"Bernard Blake","DB","SR","Colorado State","Mountain West",2014,4.4584
"John Jenkins","DL","JR","Georgia","SEC",2011,4.4576
"Elijah Hicks","DB","SO","California","Pac-12",2018,4.4571
"Henry Mitchell","DB","SR","Louisiana-Monroe","Sun Belt",2012,4.457
"Psalm Wooching","LB","SR","Washington","Pac-12",2016,4.457
"Jimmy Pruitt","DB","JR","San Jose State","Mountain West",2014,4.4567
"Grady Jarrett","DL","SO","Clemson","ACC",2012,4.4564
"Jamarcus Allen","DL","SR","Western Kentucky","Sun Belt",2012,4.4562
"Ben Weaver","LB","FR","Boise State","Mountain West",2013,4.4561
"Devon Sutton","DB","SR","East Carolina","American",2018,4.4559
"Jordon Scott","DL","JR","Oregon","Pac-12",2019,4.4558
"Quinton Richardson","DB","JR","Washington","Pac-10",2010,4.4557
"Jamie Collins","LB","SO","Southern Miss","CUSA",2010,4.4554
"Tyrell Pearson","DB","JR","South Alabama","Sun Belt",2012,4.4549
"Mike Ugenyi","DL","JR","Army","Independent",2013,4.4541
"Quinton Dial","DL","SR","Alabama","SEC",2012,4.4529
"Will Sunderland","DB","SR","Troy","Sun Belt",2019,4.4524
"Steven Jenkins","LB","SR","Texas A&M","SEC",2013,4.4523
"Will Lucas","LB","JR","Purdue","Big Ten",2012,4.4519
"Damon Magazu","DB","JR","East Carolina","CUSA",2012,4.4515
"Elijah Ponder","DL","JR","Cincinnati","American",2019,4.4508
"Khalil Oliver","DB","SR","Missouri","SEC",2019,4.4507
"LaDarius Harris","DL","JR","Southern Miss","CUSA",2017,4.4506
"Marcellus Pippins","DB","SO","Washington State","Pac-12",2015,4.4502
"Kevin Toliver II","DB","JR","LSU","SEC",2017,4.4502
"Mika Tafua","DL","FR","Utah","Pac-12",2018,4.4496
"Kam Pedescleaux","DB","FR","Louisiana","Sun Belt",2019,4.4494
"Bryce McNaul","LB","SR","Northwestern","Big Ten",2011,4.4487
"Travion Banks","DB","SR","Miami (OH)","MAC",2019,4.4487
"Evan Croutch","LB","JR","Ohio","MAC",2017,4.4486
"Amari Henderson","DB","SR","Wake Forest","ACC",2019,4.4486
"Jay Eakins","DL","SR","New Mexico State","Sun Belt",2014,4.4483
"Joel Ross","DB","SR","Appalachian State","Sun Belt",2014,4.4479
"Kene Okonkwo","DL","SR","New Mexico","Mountain West",2017,4.4474
"Chris Jones","DL","FR","Mississippi State","SEC",2013,4.4473
"Ty-Meer Brown","DB","SR","Boston College","ACC",2014,4.4469
"Eric Bennett","DB","SR","Arkansas","SEC",2013,4.4459
"Charles Gaines","DB","JR","Louisville","ACC",2014,4.4459
"Lee Skinner","LB","JR","Buffalo","MAC",2013,4.4449
"Bryon Fields","DB","JR","Duke","ACC",2016,4.4448
"Hakim Jones","DB","SO","North Carolina State","ACC",2013,4.4442
"Neiko Robinson","DB","JR","South Alabama","Sun Belt",2016,4.4441
"Joseph Harris","DL","JR","New Mexico","Mountain West",2011,4.4435
"Art Norman","DL","SO","North Carolina State","ACC",2012,4.4435
"Casey Sayles","DL","SR","Ohio","MAC",2016,4.443
"Jeremy Peters","DB","SR","Liberty","Independent",2018,4.443
"Rommel Mageo","LB","JR","Oregon State","Pac-12",2015,4.4427
"Viliami Fehoko","DL","FR","San Jose State","Mountain West",2019,4.4425
"Omarius Bryant","DL","SR","Western Kentucky","CUSA",2016,4.4419
"Jordan Poyer","DB","SO","Oregon State","Pac-10",2010,4.4418
"Avery Roberts","LB","SO","Oregon State","Pac-12",2019,4.4406
"Daniel Henry","DB","SR","New Mexico","Mountain West",2016,4.4398
"Kamryn Melton","DB","JR","Troy","Sun Belt",2016,4.4398
"Javon McKinnon","LB","SR","Arkansas State","Sun Belt",2010,4.4396
"Jamari Bozeman","DB","SO","Bowling Green","MAC",2016,4.4396
"Will Pericak","DL","SO","Colorado","Big 12",2010,4.439
"Kevin Brown","DB","SR","Middle Tennessee","Sun Belt",2010,4.4385
"Marquis Spruill","LB","SO","Syracuse","Big East",2011,4.4385
"Chris Melton","LB","SO","Middle Tennessee","CUSA",2016,4.4383
"Richard Burge","DL","JR","UTSA","CUSA",2013,4.4378
"Peni Vea","DB","JR","UNLV","Mountain West",2014,4.4377
"Isaiah Carter","LB","JR","UTEP","CUSA",2010,4.4367
"Derrick Alexander","DL","SO","Tulsa","CUSA",2013,4.4366
"Sharrod Neasman","DB","JR","FAU","CUSA",2014,4.4366
"Kevin Givens","DL","SO","Penn State","Big Ten",2017,4.4353
"Tyler Dickson","DB","SO","Army","Independent",2011,4.4349
"Bright Ugwoegbu","LB","SO","Oregon State","Pac-12",2016,4.4347
"Rashard Lawrence","DL","SO","LSU","SEC",2017,4.4347
"Boseko Lokombo","LB","SO","Oregon","Pac-12",2011,4.4346
"Culmer St. Jean","LB","SR","Wisconsin","Big Ten",2010,4.4344
"Jason Verrett","DB","SO","TCU","Mountain West",2011,4.4338
"Jaron Bryant","DB","SR","Fresno State","Mountain West",2019,4.4337
"Shemar Jean-Charles","DB","JR","Appalachian State","Sun Belt",2019,4.4336
"Xavier Cullens","LB","SO","Memphis","American",2019,4.4336
"Marcus Williams","DB","FR","Utah","Pac-12",2014,4.4335
"Micah Abernathy","DB","JR","Tennessee","SEC",2017,4.4335
"Rudell Crim","DB","SR","Arkansas","SEC",2010,4.4329
"William Savoy","DL","SR","Louisville","Big East",2011,4.4329
"Jon Reschke","LB","SO","Michigan State","Big Ten",2015,4.4329
"Kendrick Adams","DL","SR","LSU","SEC",2011,4.4328
"Antwuan Reed","DB","JR","Pittsburgh","Big East",2010,4.4325
"Branden Jackson","DL","JR","Texas Tech","Big 12",2014,4.4323
"Quayshawn Nealy","LB","FR","Georgia Tech","ACC",2011,4.4321
"Kentrell Brice","DB","SR","Louisiana Tech","CUSA",2015,4.4318
"Austin Hall","DB","FR","Memphis","American",2016,4.4313
"T.J. Carter","DL","SR","Kentucky","SEC",2019,4.4309
"Khairi Muhammad","DB","SO","North Texas","CUSA",2017,4.4299
"Lorne Bell","DB","SR","Fresno State","WAC",2010,4.4296
"Taylor Hart","DL","SO","Oregon","Pac-12",2011,4.4291
"Spencer Proctor","LB","SR","Air Force","Mountain West",2014,4.429
"Cody Barton","LB","SO","Utah","Pac-12",2016,4.4286
"Trevon Hill","DL","FR","Virginia Tech","ACC",2016,4.4281
"Vincent Eddie","DB","JR","Louisiana-Monroe","Sun Belt",2012,4.428
"Antione Barker","DL","JR","Troy","Sun Belt",2018,4.4274
"Justin Lawler","DL","SO","SMU","American",2015,4.4263
"Justin Anderson","DL","SR","Massachusetts","MAC",2013,4.426
"David Dean","DL","SO","Virginia","ACC",2013,4.4256
"D.J. Ward","DL","SR","Oklahoma","Big 12",2017,4.4255
"Patrick Choudja","DL","JR","Nevada","Mountain West",2016,4.4248
"Andrew Lewis","DL","SR","Syracuse","Big East",2010,4.4247
"Peter Kalambayi","LB","JR","Stanford","Pac-12",2015,4.4247
"Zykiesis Cannon","DB","SR","Louisville","ACC",2017,4.4247
"Kevin Wilkins","DL","JR","Rutgers","Big Ten",2017,4.4242
"Carl Davis","DL","SR","Iowa","Big Ten",2014,4.4239
"Kevon Seymour","DB","SO","USC","Pac-12",2013,4.4238
"Aaron Lynch","DL","SO","USF","American",2013,4.4233
"Lee Pegues","DL","SR","East Carolina","CUSA",2013,4.423
"Melvin White","DB","SR","Louisiana","Sun Belt",2012,4.4223
"Shaq Bell","DB","SR","Colorado State","Mountain West",2013,4.4222
"KJ Sails","DB","JR","USF","American",2019,4.4218
"Greg Grimes","DL","SR","Boise State","Mountain West",2012,4.4217
"Payton Wilson","LB","FR","North Carolina State","ACC",2019,4.4216
"Anthony Leon","LB","SR","Arkansas","SEC",2010,4.4214
"Grant Ross","LB","JR","Air Force","Mountain West",2016,4.4212
"John Battle","DB","SR","LSU","SEC",2018,4.4211
"Terrell Lathan","DL","JR","TCU","Big 12",2014,4.421
"JaQuez Jenkins","DB","JR","USF","Big East",2012,4.4209
"Ross Forrest","DL","JR","TCU","Mountain West",2011,4.4206
"Tre Griffin","DL","SR","Georgia Southern","Sun Belt",2016,4.4206
"Greg Brown","DB","SR","Kansas","Big 12",2012,4.4204
"Joe Schmidt","LB","SR","Notre Dame","Independent",2014,4.4201
"Jerry Uwaezuoke","DL","SR","Tulsa","American",2016,4.4196
"Sam Franklin","LB","SO","Temple","American",2017,4.4195
"Marquel Dismuke","DB","JR","Nebraska","Big Ten",2019,4.4192
"Justin Moody","DB","JR","Eastern Michigan","MAC",2017,4.4186
"Andrew Seumalo","DL","SR","Oregon State","Pac-12",2012,4.4179
"Luke Carrezola","LB","JR","Connecticut","American",2016,4.4179
"Shaun Crawford","DB","JR","Notre Dame","Independent",2017,4.4172
"B.J. Larsen","DL","JR","Utah State","WAC",2012,4.4166
"Demetrius Wright","DB","SR","USC","Pac-12",2013,4.4165
"Bradley Njoku","DB","SR","Idaho","Sun Belt",2014,4.4164
"Nico Marley","LB","JR","Tulane","American",2015,4.4164
"DeShawn Williams","DL","SR","Clemson","ACC",2014,4.4163
"Cameron Blakes","LB","SO","Louisiana-Monroe","Sun Belt",2010,4.4159
"Terrance Woodard","DL","SR","Georgia State","Sun Belt",2013,4.4157
"Larry Gibbs","DL","SR","San Diego State","Mountain West",2011,4.4154
"Peter Jinkens","LB","SR","Texas","Big 12",2015,4.4152
"Brannon Bryan","LB","SR","Troy","Sun Belt",2012,4.4141
"Josh Woods","DB","SR","Maryland","Big Ten",2017,4.414
"Ben Kane","DL","SR","UTSA","CUSA",2016,4.4139
"Tony Johnson","LB","SR","Louisiana Tech","CUSA",2014,4.4137
"Lyndell Gibson","LB","SO","Virginia Tech","ACC",2010,4.4135
"Kadofi Wright","LB","JR","Buffalo","MAC",2019,4.4131
"Brandon Magee","LB","JR","Arizona State","Pac-10",2010,4.413
"Derik Overstreet","DL","JR","Western Kentucky","CUSA",2016,4.4129
"Gimel President","DL","SR","Illinois","Big Ten",2016,4.4128
"Kevon Perry","DL","SR","Louisiana","Sun Belt",2017,4.4126
"Jonathan Anderson","LB","JR","TCU","Big 12",2013,4.4123
"Eddie Goldman","DL","JR","Florida State","ACC",2014,4.4121
"Jason Neill","DL","JR","UTSA","CUSA",2014,4.4117
"Jordan Davis","DL","SO","Georgia","SEC",2019,4.4117
"Greg Gooch","DL","SR","Indiana","Big Ten",2017,4.4115
"Brian Cole II","DB","SR","Mississippi State","SEC",2019,4.4115
"Ralph Holley","DL","JR","Western Michigan","MAC",2019,4.4114
"A.J. Stamps","DB","JR","Kentucky","SEC",2014,4.4107
"Tarris Batiste","LB","SO","Georgia State","Sun Belt",2013,4.4105
"Dylan Moses","LB","FR","Alabama","SEC",2017,4.4105
"Dontavius Russell","DL","SO","Auburn","SEC",2016,4.4104
"Cole Ormsby","DL","JR","Connecticut","American",2016,4.4101
"Mike Sota","DL","SR","UTEP","CUSA",2018,4.41
"Antwon Blake","DB","JR","UTEP","CUSA",2010,4.4088
"Donte Wilkins","DL","SR","Virginia","ACC",2016,4.4085
"Tycen Anderson","DB","JR","Toledo","MAC",2019,4.4084
"Demontre Hurst","DB","SR","Oklahoma","Big 12",2012,4.4079
"Chris Smith","DL","SR","Arkansas","SEC",2013,4.4069
"Trashaun Nixon","LB","JR","New Mexico State","WAC",2012,4.4064
"Nick McCloud","DB","JR","North Carolina State","ACC",2018,4.4058
"Royce Jenkins-Stone","LB","SR","Michigan","Big Ten",2015,4.4044
"Johnathon White","DL","JR","East Carolina","American",2014,4.4042
"Deatrich Wise Jr.","DL","SR","Arkansas","SEC",2016,4.4038
"Matt Nicholson","LB","SR","Houston","CUSA",2010,4.4032
"Darian Roseboro","DL","JR","North Carolina State","ACC",2017,4.4029
"Cayson Collins","LB","SR","North Carolina","ACC",2017,4.4025
"Rashad Jackson","DB","SR","Marshall","CUSA",2011,4.4021
"Erin Austin","DL","SR","New Mexico","Mountain West",2019,4.4017
"Dajon Emory","DL","SR","Arkansas State","Sun Belt",2018,4.4016
"Jon Bateky","DL","SR","Rutgers","Big Ten",2018,4.4016
"Mason Monheim","LB","FR","Illinois","Big Ten",2012,4.4015
"Joel Iyiegbuniwe","LB","SO","Western Kentucky","CUSA",2016,4.4013
"Marquis Spruill","LB","FR","Syracuse","Big East",2010,4.401
"R.J. Washington","DL","SR","Oklahoma","Big 12",2012,4.401
"Victor Hampton","DB","SO","South Carolina","SEC",2012,4.4009
"Aldrick Fordham","DL","SR","South Carolina","SEC",2012,4.4009
"Collin Turner","DB","SR","Louisiana-Monroe","Sun Belt",2018,4.4005
"Zach Harrison","DL","FR","Ohio State","Big Ten",2019,4.4005
"Andrew Pryts","LB","SR","Stanford","Pac-12",2019,4.4004
"Perry McIntyre","LB","SR","Massachusetts","MAC",2012,4.4003
"Leighton McCarthy","DL","JR","FAU","CUSA",2019,4.3989
"Ray Ellis","DL","SR","FAU","CUSA",2019,4.3989
"Trey McGowan","LB","JR","Texas State","Sun Belt",2014,4.3988
"Jordan Bradford","DL","JR","Louisiana Tech","CUSA",2017,4.3985
"Mark Murphy","DB","JR","Indiana","Big Ten",2013,4.3982
"Shane Gordon","LB","JR","Pittsburgh","Big East",2012,4.3981
"Boomer Mays","LB","JR","Northern Illinois","MAC",2014,4.3981
"Richie Brown","LB","SR","Mississippi State","SEC",2016,4.3976
"Damontae Kazee","DB","FR","San Diego State","Mountain West",2013,4.3972
"L.J. Jones","DB","SR","Fresno State","Mountain West",2013,4.3967
"Duke Thomas","DB","SR","Texas","Big 12",2015,4.3967
"Jordan Williams","DL","SO","Clemson","ACC",2019,4.3963
"Anthony Butler","LB","SO","Charlotte","CUSA",2017,4.3958
"Jordan Elliott","DL","SO","Missouri","SEC",2018,4.3949
"Will Ebner","LB","SR","Missouri","SEC",2012,4.3944
"Marquise Overton","DL","SO","Oklahoma","Big 12",2017,4.3943
"Pat Fields","DB","SO","Oklahoma","Big 12",2019,4.3941
"Lloyd Carrington","DB","SR","Arizona State","Pac-12",2015,4.394
"Jon Greenard","LB","SO","Louisville","ACC",2017,4.394
"Bryce Thompson","DB","SO","Tennessee","SEC",2019,4.394
"Donald Rutledge Jr.","DB","SR","Georgia Southern","Sun Belt",2019,4.3938
"Jacob Fagnano","DB","SR","Penn State","Big Ten",2012,4.3936
"Louis Palmer","DL","SR","Central Michigan","MAC",2015,4.3936
"Shakiel Smith","DB","SO","Tulane","CUSA",2010,4.3935
"Drew Douglas","LB","JR","UTSA","CUSA",2014,4.3931
"Korey Toomer","LB","SR","Idaho","WAC",2011,4.3929
"Dante Wigley","DB","JR","Colorado","Pac-12",2018,4.3923
"Jason McLean","DB","SR","Texas State","WAC",2012,4.3922
"Jacob Nwangwa","DB","SO","New Mexico State","Sun Belt",2015,4.3922
"Jason Hatcher","DL","JR","Kentucky","SEC",2015,4.3921
"Angelo Blackson","DL","SO","Auburn","SEC",2012,4.3914
"Robert Taylor","DB","JR","Washington State","Pac-12",2016,4.3913
"Austin Roberts","DL","SR","Oklahoma","Big 12",2016,4.3911
"Evahelotu Tohi","LB","SR","New Mexico","Mountain West",2018,4.3898
"Jordan Miller","DB","JR","Washington","Pac-12",2017,4.3895
"Jimmy Smith","DB","SR","Colorado","Big 12",2010,4.389
"Daniel Bituli","LB","JR","Tennessee","SEC",2018,4.3888
"James Orth","DB","SR","San Jose State","WAC",2012,4.3884
"Rock Ya-Sin","DB","SR","Temple","American",2018,4.3884
"Jarrick Bernard","DB","FR","Oklahoma State","Big 12",2018,4.3877
"Josh Pleasant","DB","JR","Kent State","MAC",2010,4.3873
"Brandon Watts","LB","SR","Georgia Tech","ACC",2013,4.386
"Johnson Bademosi","DB","JR","Stanford","Pac-10",2010,4.3854
"Bryton Barr","LB","SR","Massachusetts","Independent",2018,4.385
"Witney Sherry","DB","SR","Buffalo","MAC",2014,4.3849
"Cameron Blakes","LB","JR","Louisiana-Monroe","Sun Belt",2011,4.3845
"Kentarius Caldwell","DL","SO","Louisiana-Monroe","Sun Belt",2011,4.3845
"Terrell Brigham","DB","JR","South Alabama","Sun Belt",2013,4.3838
"Kent Kern","LB","JR","Miami (OH)","MAC",2014,4.3833
"Dalton Santos","LB","SO","Texas","Big 12",2013,4.3832
"Darrius White","DB","SR","Georgia Southern","Sun Belt",2015,4.383
"Eric Williams","LB","SO","Pittsburgh","Big East",2012,4.3828
"Jeremy Cutrer","DB","JR","Middle Tennessee","CUSA",2015,4.3823
"Dominick Sanders","DB","JR","Georgia","SEC",2016,4.3817
"Andrew Sweat","LB","JR","Ohio State","Big Ten",2010,4.3808
"Marcus Peters","DB","JR","Washington","Pac-12",2014,4.3808
"Keivonnis Davis","DL","SO","Florida","SEC",2016,4.3798
"Jameson Houston","DB","SR","Baylor","Big 12",2019,4.3794
"Kris Givens","DB","JR","Akron","MAC",2014,4.3793
"Deddrick Jones","DL","SR","Southern Miss","CUSA",2011,4.3788
"Olin Cushion III","DB","JR","FIU","CUSA",2018,4.3785
"P.J. Smith","DB","SO","Nebraska","Big Ten",2010,4.3783
"Nick Mobley","LB","SO","South Alabama","Sun Belt",2019,4.3783
"Darryl Monroe","LB","FR","Washington State","Pac-12",2012,4.3772
"Erik Brown","DB","JR","UTSA","WAC",2012,4.3769
"Steven Richardson","DL","SO","Minnesota","Big Ten",2015,4.3766
"Jaylon Haynes","DL","JR","UTSA","CUSA",2019,4.3762
"Mike Caprara","LB","JR","Pittsburgh","ACC",2015,4.376
"Nehemiah Shelton","DB","SO","San Jose State","Mountain West",2019,4.3759
"Karl Joseph","DB","SO","West Virginia","Big Ten",2013,4.3758
"Michael Doctor","LB","SO","Oregon State","Pac-12",2011,4.3755
"Adam Dempsey","DL","SR","Cincinnati","American",2013,4.3752
"Corey Nelson","LB","SO","Oklahoma","Big 12",2011,4.3748
"Devin Johnson","DB","JR","TCU","Mountain West",2011,4.3744
"Chuck Grace","DB","SR","FIU","Sun Belt",2012,4.3735
"Kevin Peterson","DB","JR","Oklahoma State","Big 12",2014,4.3733
"Derrell Acrey","LB","SR","Boise State","WAC",2010,4.3728
"Terrance Winchester","DB","JR","Charlotte","CUSA",2015,4.3724
"Shareef White","LB","SO","Memphis","American",2015,4.3721
"Vincenté Miles, Jr.","DB","SR","San Jose State","Mountain West",2015,4.3709
"Devon Kennard","LB","SO","USC","Pac-10",2010,4.3707
"Derrick Alexander","DL","JR","Tulsa","American",2014,4.3703
"Trae Philpots","DL","SR","Middle Tennessee","CUSA",2019,4.3701
"Jon Haynes","DB","JR","Ole Miss","SEC",2019,4.3701
"Keith Reaser","DB","SO","FAU","Sun Belt",2011,4.3699
"Alex Wells","DB","JR","Temple","American",2014,4.3696
"Terrill Hanks","DB","FR","New Mexico State","Sun Belt",2015,4.3696
"Adonis Alexander","DB","SO","Virginia Tech","ACC",2016,4.369
"Kendall Sheffield","DB","JR","Ohio State","Big Ten",2018,4.3685
"Justin Gent","LB","SR","Oklahoma State","Big 12",2010,4.3677
"Ernest Owusu","DL","SR","California","Pac-12",2011,4.3675
"Antonio Phillips","DB","JR","Ball State","MAC",2019,4.3675
"Jack Tocho","DB","SR","North Carolina State","ACC",2016,4.3674
"Sonny Sanitoa","DL","SR","UNLV","Mountain West",2015,4.3668
"Jay Woods","DL","SO","Vanderbilt","SEC",2015,4.3665
"Taboris Lee","DL","SO","Louisiana","Sun Belt",2015,4.3664
"Germod Williams","DB","SO","Texas State","Sun Belt",2014,4.3655
"James Castleman","DL","SO","Oklahoma State","Big 12",2012,4.3652
"Kip Edwards","DB","JR","Missouri","Big 12",2011,4.3651
"Tyquae Russell","DB","SR","Troy","Sun Belt",2017,4.3651
"Evan Schwan","DL","SR","Penn State","Big Ten",2016,4.3645
"Kyle Kelley","DL","JR","San Diego State","Mountain West",2015,4.3643
"Malliciah Goodman","DL","SR","Clemson","ACC",2012,4.3642
"Jaxon Player","DL","SO","Tulsa","American",2019,4.3642
"Fermin Silva","DL","SO","FIU","CUSA",2016,4.364
"Jermayne Lole","DL","FR","Arizona State","Pac-12",2018,4.3624
"Rayshawn Jenkins","DB","SO","Miami (FL)","ACC",2013,4.3617
"Nick Fitzgerald","DL","SR","Air Force","Mountain West",2014,4.3613
"Rashan Gary","DL","FR","Michigan","Big Ten",2016,4.3613
"Ryan Bowman","LB","FR","Washington","Pac-12",2017,4.3613
"Antonio Balabani","DL","SO","Western Michigan","MAC",2017,4.3613
"Bejour Wilson","DB","JR","Liberty","Independent",2018,4.3608
"Tre Hornbuckle","DL","SR","Duke","ACC",2019,4.3608
"Romeo Okwara","DL","JR","Notre Dame","Independent",2014,4.3607
"Auggie Sanchez","LB","FR","USF","American",2014,4.3606
"Maurice McKnight","DB","JR","San Jose State","Mountain West",2016,4.3605
"Kolton Shindelar","DL","JR","Tulsa","American",2016,4.3603
"Ricky Ali'ifua","DL","SR","Utah State","Mountain West",2016,4.3599
"Tim Ward","DL","SR","Old Dominion","CUSA",2018,4.3594
"Niko Gonzalez","DB","SO","FIU","CUSA",2015,4.3587
"Walter Palmore","DL","SR","Missouri","SEC",2018,4.3577
"D.J. Johnson","DB","JR","Texas Tech","Big 12",2011,4.3576
"Eric Jenkins","DB","JR","North Texas","CUSA",2016,4.357
"Michael Ziemba","DL","JR","Indiana","Big Ten",2019,4.3569
"Cam Jones","LB","SO","Indiana","Big Ten",2019,4.3569
"Delvin Johnson","DL","SR","Marshall","CUSA",2011,4.3565
"Jon Cunningham","DL","FR","Kent State","MAC",2014,4.3565
"Bralen Trahan","DB","SO","Louisiana","Sun Belt",2019,4.3564
"Troy Stoudermire","WR","JR","Minnesota","Big Ten",2010,4.3563
"Cameron Sutton","DB","FR","Tennessee","SEC",2013,4.354
"Ja'Von Rolland-Jones","DL","FR","Arkansas State","Sun Belt",2014,4.3539
"Damante Horton","DB","SO","Washington State","Pac-12",2011,4.3538
"C.J. Avery","LB","JR","Louisville","ACC",2019,4.3538
"Jacob Lattimer","DL","JR","Iowa State","Big 12",2010,4.3532
"Dylan Jackson","DL","SR","Stanford","Pac-12",2018,4.3523
"Jarrell Owens","DL","SR","Oklahoma State","Big 12",2018,4.3522
"Garrett Marino","DL","SO","UAB","CUSA",2017,4.3519
"Desmond Trufant","DB","JR","Washington","Pac-12",2011,4.3516
"Sam Beal","DB","SO","Western Michigan","MAC",2016,4.3513
"Alec Ogletree","LB","SO","Georgia","SEC",2011,4.3511
"Ryan Smith","DB","JR","SMU","CUSA",2011,4.3511
"Terrell Brigham","DB","SO","South Alabama","Sun Belt",2012,4.351
"Devyn Harris","LB","SR","Wyoming","Mountain West",2014,4.351
"Ralph Green III","DL","SR","Indiana","Big Ten",2016,4.351
"Daniel Sheffield","LB","SR","Troy","Sun Belt",2010,4.3508
"Ross Cockrell","DB","SR","Duke","ACC",2013,4.3507
"Tajh Hasson","DB","JR","UNLV","Mountain West",2013,4.3501
"Alex Lyons","LB","SR","Rice","CUSA",2016,4.3491
"Jordan Young","LB","FR","Old Dominion","CUSA",2017,4.3491
"Jason Fao","DL","SR","UNLV","Mountain West",2017,4.3483
"Roderic Blunt","LB","JR","Middle Tennessee","Sun Belt",2012,4.3482
"Dedrick Young II","LB","SO","Nebraska","Big Ten",2016,4.3474
"Freedom Akinmoladun","DL","SO","Nebraska","Big Ten",2016,4.3474
"Andrew Puthoff","DL","SR","Ball State","MAC",2011,4.3473
"Darius Kilgo","DL","JR","Maryland","ACC",2013,4.3467
"Jabral Johnson","LB","JR","Oregon State","Pac-12",2013,4.3459
"Kyree Campbell","DL","SO","Florida","SEC",2018,4.345
"Tedric Thompson","DB","SO","Colorado","Pac-12",2014,4.3448
"Bronson Kaufusi","LB","JR","BYU","Independent",2014,4.3447
"Jordan Griffin","DB","SR","Kentucky","SEC",2019,4.344
"Tony Brown","DB","JR","Alabama","SEC",2016,4.3438
"Luther Maddy","DL","SO","Virginia Tech","ACC",2012,4.3436
"Cameron Truss","DB","JR","Bowling Green","MAC",2011,4.3429
"Josh Harvey-Clemons","DB","SR","Louisville","ACC",2016,4.3419
"Jaleel Wadood","DB","SR","UCLA","Pac-12",2017,4.3419
"Brandon Crawford","DL","JR","Buffalo","MAC",2015,4.3417
"Dylan Haines","DB","SR","Texas","Big 12",2016,4.3417
"Doug Wiggins","DB","SR","Western Michigan","MAC",2011,4.3416
"Jeremy Gainer","DL","SR","Central Michigan","MAC",2013,4.3416
"Santos Ramirez","DB","JR","Arkansas","SEC",2017,4.3413
"Omar Hunter","DL","JR","Florida","SEC",2011,4.3408
"Kevin Oliver","DL","JR","FIU","CUSA",2019,4.3407
"DeMarco Montgomery","DL","SR","Memphis","American",2016,4.3406
"Joe Kawulok","DL","JR","Colorado State","Mountain West",2014,4.3403
"Dominic Alvis","DL","SR","Iowa","Big Ten",2013,4.3398
"Durrant Miles","DL","SR","Boise State","Mountain West",2018,4.3384
"Joey Ivie","DL","SR","Florida","SEC",2016,4.3373
"Folorunso Fatukasi","DL","SR","Connecticut","American",2017,4.3372
"Winston DeLattiboudere","DL","SR","Minnesota","Big Ten",2019,4.3372
"Chris Worley","LB","SR","Ohio State","Big Ten",2017,4.3371
"Issac Gross","DL","FR","Ole Miss","SEC",2012,4.3367
"Josh Kristoff","DB","FR","Ohio","MAC",2011,4.3366
"Anthony Watts","DL","JR","Purdue","Big Ten",2019,4.3364
"Julien Obioha","DL","FR","Texas A&M","SEC",2012,4.3351
"Taylor Mack","DB","SR","Connecticut","American",2013,4.3348
"Jake Bequette","DL","JR","Arkansas","SEC",2010,4.3347
"Tenarius Wright","DL","SO","Arkansas","SEC",2010,4.3347
"Alexander Hansen","DL","FR","Air Force","Mountain West",2012,4.3345
