Player,Pos,Class,School,Conference,Year,Passing,Rushing,Receiving,Total
Leon Brooks,RB,JR,Washington State,Pac-12,2012,,0.161852445,0.047739869,0.209592314
Eric Swinney,RB,JR,Ole Miss,SEC,2018,,0.159605633,0.04990146,0.209507093
Javohn Jones,RB,FR,New Mexico,Mountain West,2016,,0.209506554,,0.209506554
Ahkeem Smith,RB,SO,Temple,MAC,2010,,0.107720447,0.101709212,0.209429659
Patrick Towles,QB,FR,Kentucky,SEC,2012,0.237155399,-0.027766562,,0.209388837
Brandon Howard,TE,JR,Massachusetts,MAC,2014,,,0.209366504,0.209366504
Calvin Green,WR,FR,Washington State,Pac-12,2014,,,0.209068223,0.209068223
John Pettigrew,RB,JR,Bowling Green,MAC,2011,,0.208870334,,0.208870334
Dennis Robinson,WR,SO,Northern Illinois,MAC,2019,,,0.20886447,0.20886447
Chris Kearney,WR,SR,San Jose State,Mountain West,2015,,,0.208812017,0.208812017
Jakairi Moses,RB,SO,Western Kentucky,CUSA,2019,,0.019481427,0.189229674,0.208711101
Smoke Harris,WR,FR,Louisiana Tech,CUSA,2018,,,0.208635721,0.208635721
Austin Traylor,TE,JR,Wisconsin,Big Ten,2014,,,0.208599029,0.208599029
Brandon Hill,TE,JR,Mississippi State,SEC,2013,,,0.208598456,0.208598456
Dhameer Bradley,WR,SO,Connecticut,American,2014,,,0.20857948,0.20857948
Deion Sanders Jr.,WR,SO,SMU,American,2014,,,0.208549134,0.208549134
Steven Staggs,WR,JR,Iowa,Big Ten,2011,,,0.208536399,0.208536399
Robert Nkemdiche,DL,JR,Ole Miss,SEC,2015,,0.010553054,0.197958705,0.208511759
Andrew Joseph,WR,SR,Louisiana,Sun Belt,2011,,-0.022849025,0.23133573,0.208486705
Nathan Strock,QB,FR,Kent State,MAC,2014,0.092673425,0.115812292,,0.208485717
Malik Kimbrough,RB,JR,Purdue,Big Ten,2016,,0.002516169,0.205790548,0.208306717
A.J. Alexander,TE,FR,Ohio State,Big Ten,2016,,,0.208268784,0.208268784
John Samuel Shenker,TE,FR,Auburn,SEC,2018,,,0.208203853,0.208203853
Daje Johnson,WR,JR,Texas,Big 12,2014,,0.230712473,-0.022534513,0.20817796
Chad Lewellyn,WR,SO,Navy,American,2015,,,0.208141888,0.208141888
Davin Hawkins,TE,JR,South Alabama,Sun Belt,2013,,,0.208084849,0.208084849
Shawn White,RB,FR,Navy,Independent,2013,,0.208079562,,0.208079562
John Stephen Jones,QB,FR,Arkansas,SEC,2019,0.146462067,0.061610489,,0.208072556
Anselem Umeh,WR,FR,New Mexico,Mountain West,2017,,,0.207867103,0.207867103
Zac Clark,TE,JR,Ohio,MAC,2010,,,0.207816023,0.207816023
Justin Allen,WR,JR,Fresno State,Mountain West,2017,,,0.207726974,0.207726974
Tre' Parmalee,WR,FR,Kansas,Big 12,2012,,0.025210172,0.182481444,0.207691616
Vince Sanders,WR,FR,Ole Miss,SEC,2011,,,0.207634061,0.207634061
Brian O'Neill,OL,SO,Pittsburgh,ACC,2016,0,0.207631122,,0.207631122
Marcus Richmond,RB,SR,Washington State,Pac-10,2010,,0.04148297,0.166058545,0.207541515
Price Wilson,QB,SO,Louisiana Tech,CUSA,2016,0.207525134,0,,0.207525134
Jordan Feuerbacher,TE,SR,Baylor,Big 12,2017,,,0.207488907,0.207488907
Nykeim Johnson,WR,FR,Syracuse,ACC,2017,,0.014289779,0.193189656,0.207479435
Cannon Smith,QB,SO,Memphis,CUSA,2010,0.205629266,0.001728741,,0.207358007
Chazz Surratt,QB,SO,North Carolina,ACC,2018,0.015221123,0.192110787,,0.20733191
Tyree Watkins,WR,SO,Duke,ACC,2011,,,0.207301729,0.207301729
De'Vion Warren,WR,JR,Arkansas,SEC,2019,,0.142824318,0.064288626,0.207112944
Marcel Dancy,RB,JR,California,Pac-12,2018,,0.167191335,0.039800895,0.20699223
Mike Harris,DB,JR,Florida State,ACC,2010,,,0.20694654,0.20694654
Monterrell Washington,RB,SR,Louisiana-Monroe,Sun Belt,2013,,0.155024585,0.051840893,0.206865478
Hunter Bergeron,TE,SO,Louisiana,Sun Belt,2019,,,0.206843733,0.206843733
Ben Bresnahan,TE,FR,Vanderbilt,SEC,2019,,,0.20682665,0.20682665
Alex Ross,RB,SR,Missouri,SEC,2016,,0.196052634,0.010751758,0.206804392
Derek Moise,WR,FR,FAU,Sun Belt,2011,,,0.206803951,0.206803951
Jaquil Capel,WR,JR,Appalachian State,Sun Belt,2015,,,0.20673425,0.20673425
K.J. Osborn,WR,FR,Buffalo,MAC,2016,,,0.206605321,0.206605321
Kris Kentera,WR,JR,Vanderbilt,SEC,2014,,-0.035286764,0.241766502,0.206479738
Martell Pettaway,RB,SR,West Virginia,Big 12,2019,,0.185940877,0.02050602,0.206446897
Logan Bonner,QB,FR,Arkansas State,Sun Belt,2017,0.158186075,0.048260285,,0.20644636
Tim Erjavec,TE,FR,Kent State,MAC,2010,,,0.206411352,0.206411352
Johnathan Vickers,RB,JR,Florida State,ACC,2016,,0.206333865,,0.206333865
Lavorick Williams,WR,SR,UTEP,CUSA,2012,,0.19309857,0.013206481,0.206305051
Xay Williams,RB,FR,UTEP,CUSA,2012,,0.19309857,0.013206481,0.206305051
Fred McRae,WR,JR,Miami (OH),MAC,2015,,0.013825321,0.192476838,0.206302159
Keith Mumphery,WR,FR,Michigan State,Big Ten,2011,,,0.206264316,0.206264316
Derrick Strozier,RB,JR,Tulane,CUSA,2012,,0.030988331,0.175247872,0.206236203
Akise Teague,RB,FR,Cincinnati,Big East,2011,,0.206182354,,0.206182354
Joshua Tapscott,RB,FR,Wyoming,Mountain West,2014,,0.178888605,0.02727817,0.206166775
Sherodrick Smith,RB,FR,Arkansas State,Sun Belt,2011,,0.219273816,-0.01312185,0.206151966
Arsenio Favor,QB,FR,Southern Miss,CUSA,2011,0.018795364,0.187342365,,0.206137729
Leonard Taylor,TE,SO,Cincinnati,American,2019,,,0.206073218,0.206073218
Andrew Stone,WR,SR,Iowa,Big Ten,2014,,,0.205999147,0.205999147
D.J. Coles,WR,SO,Virginia Tech,ACC,2010,,,0.205826636,0.205826636
Dontavius Jackson,RB,JR,UAB,CUSA,2011,,0.177011307,0.028785119,0.205796426
Jocquez Bruce,WR,FR,Middle Tennessee,CUSA,2016,,,0.205746926,0.205746926
Jarvis Bentley,WR,JR,Troy,Sun Belt,2014,,0.043989761,0.161742012,0.205731773
Alex Byers,WR,JR,Utah State,Mountain West,2016,,0.027923991,0.177763749,0.20568774
Devin Powell,QB,FR,Tulane,CUSA,2012,0.319201482,-0.113623883,,0.205577599
Xavian Marks,WR,JR,Alabama,SEC,2017,,,0.20549305,0.20549305
Tee Goree,WR,FR,North Texas,CUSA,2015,,,0.205358318,0.205358318
Blake Banham,RB,FR,Eastern Michigan,MAC,2015,,0.087891948,0.117461398,0.205353346
David Greene,RB,SR,UNLV,Mountain West,2015,,0.205269303,,0.205269303
Kendall Moore,OL,FR,Syracuse,ACC,2013,,,0.205186243,0.205186243
A'Darius Purifoy,WR,SO,Appalachian State,Sun Belt,2018,,,0.205181641,0.205181641
Tapa Taumoepeau,TE,SO,Fresno State,WAC,2010,,,0.205176047,0.205176047
Stephen Hogan,QB,JR,Arkansas State,Sun Belt,2014,0.046790151,0.158347918,,0.205138069
Kevin Shaa,WR,JR,Liberty,Independent,2018,,-0.047822764,0.252931332,0.205108568
Jonathan Williams,WR,SO,Wake Forest,ACC,2014,,,0.205048265,0.205048265
Trayone Gray,RB,JR,Miami (FL),ACC,2017,,0.174367488,0.030600517,0.204968005
Latevius Rayford,WR,JR,Vanderbilt,SEC,2015,,,0.204917119,0.204917119
Tom Hackett,ST,JR,Utah,Pac-12,2014,,0.204914267,,0.204914267
Taylor Burch,QB,SR,Louisiana Tech,CUSA,2014,0.090605534,0.114244538,,0.204850072
Ray Keys,WR,SR,Virginia,ACC,2011,,,0.204826864,0.204826864
Dee Anderson,WR,SO,LSU,SEC,2017,,,0.204812938,0.204812938
Travis Reynolds,TE,SO,Massachusetts,Independent,2016,,,0.204812511,0.204812511
Zahneer Shuler,RB,JR,New Mexico,Mountain West,2017,,-0.006646282,0.211390271,0.204743989
Major Tennison,TE,SO,Alabama,SEC,2019,,,0.20468885,0.20468885
Tom Hornsey,ST,JR,Memphis,CUSA,2012,0.123683399,0.080949089,,0.204632488
Kylen Towner,WR,FR,Western Kentucky,CUSA,2014,,0.197218867,0.007295196,0.204514063
Dami Ayoola,RB,FR,Illinois,Big Ten,2012,,0.18396703,0.020515149,0.204482179
Devin Scott,WR,SR,Louisiana,Sun Belt,2017,,,0.204464215,0.204464215
Sherman Alston,WR,SO,Boston College,ACC,2015,,0.048572827,0.155852947,0.204425774
Warren Redix,WR,JR,UTEP,CUSA,2017,,0.007606505,0.196690625,0.20429713
